no,name,type1,type2,sprite_override,sprite_url,yakkun_url
1,フシギダネ,くさ,どく,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://yakkun.com/sv/zukan/n1
2,フシギソウ,くさ,どく,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://yakkun.com/sv/zukan/n2
3,フシギバナ,くさ,どく,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://yakkun.com/sv/zukan/n3
4,ヒトカゲ,ほのお,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://yakkun.com/sv/zukan/n4
5,リザード,ほのお,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://yakkun.com/sv/zukan/n5
6,リザードン,ほのお,ひこう,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://yakkun.com/sv/zukan/n6
7,ゼニガメ,みず,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://yakkun.com/sv/zukan/n7
8,カメール,みず,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://yakkun.com/sv/zukan/n8
9,カメックス,みず,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://yakkun.com/sv/zukan/n9
10,キャタピー,むし,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://yakkun.com/sv/zukan/n10
11,トランセル,むし,,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://yakkun.com/sv/zukan/n11
12,バタフリー,むし,ひこう,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://yakkun.com/sv/zukan/n12
13,ビードル,むし,どく,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://yakkun.com/sv/zukan/n13
